Unnamed: 0,airsigmetid,timevalidfromutc,timevalidtoutc,movementdirdegrees,movementspeedknots,hazardtype,hazardseverity,airsigmettype,altitudeminft,altitudemaxft
212,32741,2013-08/15 21:45:0O+0O,2013/08/16 04:00:0O+00,,,IFR,,AIRMET,0.0,O
213,32742,2013-O8-15 21:45:00+0O,2O13/08-16 O4:0O:00+0O,,,MTN OBSCN,,AIRMET,0.0,0.0
214,32743,2013/08/15 21:45:0O+OO,2013/08-16 03:45:00+00,,,MTN OBSCN,,AIRMET,O,0.0
215,32744,2013/08/15 15:45:00+00,2013-08/15 21:44:59+0O,,,IFR,,AIRMET,0.0,0.0
216,32746,2013/08/15 15:45:00+00,2O13-O8-15 21:44:59+00,,,ICE,MOD,AIRMET,0.0,0.0
217,32747,2013-O8/15 15:45:00+00,2O13-08-15 21:44:59+0O,,,TURB,MOD,AIRMET,0.0,O
218,32748,2013/08-15 19:11:O0+0O,2013-O8-15 21:44:59+O0,,,IFR,,AIRMET,O,0.0
219,32750,2013-08-15 18:52:O0+O0,2O13/08/15 21:44:59+00,,,IFR,,AIRMET,0.0,0.0
220,32751,2013/08-15 21:55:OO+00,2013-O8/15 23:55:O0+00,290.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
221,32752,2013/08/15 23:55:00+O0,2013-08/16 03:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
222,32753,2013/O8-15 2O:55:00+O0,2013/08/15 21:54:59+0O,250.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
223,32754,2O13/08-15 22:55:00+00,2013-08-15 21:54:59+00,,,CONVECTIVE,,OUTLOOK,,
224,32755,2013-08/16 O0:55:0O+0O,2013-08-16 04:55:00+00,,,CONVECTIVE,,OUTLOOK,,
225,32756,2013/O8-15 22:55:OO+00,2013-08-16 O0:55:O0+00,260.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,O
226,32757,2O13-08-15 21:55:00+O0,2013-08-15 22:54:59+00,260.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
227,32758,2013-08/15 23:55:OO+00,2013-O8/15 22:54:59+00,,,CONVECTIVE,,OUTLOOK,,
228,32759,2013-08-16 01:55:00+O0,2O13-08/16 05:55:OO+0O,,,CONVECTIVE,,OUTLOOK,,
229,32760,2013/O8-15 23:55:O0+00,2013-08-16 01:55:O0+00,300.0,10.0,CONVECTIVE,LT/MOD,SIGMET,0.0,O
230,32762,2O13-O8-15 22:55:0O+O0,2013-08-15 23:54:59+00,260.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
231,32763,2013-08-16 O1:55:OO+00,2O13-08-16 00:54:59+O0,,,CONVECTIVE,,OUTLOOK,,
232,32775,2013/08-16 O3:45:0O+00,2O13-08/16 10:00:O0+OO,,,IFR,,AIRMET,0.0,0.0
233,32764,2013-08/15 23:55:O0+0O,2013-08-16 O0:54:59+00,300.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
234,32765,2013-O8-16 02:55:00+O0,2O13-08-16 O6:55:00+00,,,CONVECTIVE,,OUTLOOK,,
235,32766,2O13-08-16 0O:55:00+OO,2013-08/16 02:55:0O+00,290.0,15.0,CONVECTIVE,LT/MOD,SIGMET,0.0,O
236,32767,2013-08-16 O1:55:00+00,2O13-08-16 03:55:00+0O,260.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,O
237,32768,2O13-O8-16 O3:55:0O+0O,2013-08-16 07:55:00+0O,,,CONVECTIVE,,OUTLOOK,,
238,32769,2013-08-16 02:O3:O0+00,2O13-08-16 O3:55:0O+00,280.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
239,32770,2013/08-16 02:1O:00+0O,2O13-O8-16 03:55:O0+OO,,,CONVECTIVE,LT-MOD,SIGMET,O,0.0
240,32771,2013-08-16 02:55:O0+00,2013-08-16 04:55:O0+00,,,CONVECTIVE,LT-MOD,SIGMET,0.0,O
241,32772,2013/08/16 04:55:00+OO,2O13/08/16 08:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
242,32773,2013/08/15 21:45:O0+0O,2013-O8-16 03:44:59+00,,,IFR,,AIRMET,O,O
243,32774,2013-08-15 21:45:00+0O,2013-O8/16 O3:44:59+00,,,MTN OBSCN,,AIRMET,0.0,O
244,32776,2013-08/16 03:45:00+0O,2013/08-16 10:OO:O0+00,,,MTN OBSCN,,AIRMET,O,O
245,32777,2013-08/16 03:45:00+0O,2O13-08-16 09:45:OO+00,,,MTN OBSCN,,AIRMET,0.0,O
246,32778,2O13-08-16 03:45:O0+00,2O13-O8-16 10:O0:O0+0O,,,ICE,MOD,AIRMET,0.0,0.0
247,32779,2O13/08-16 03:55:OO+OO,2O13-08/16 05:55:00+00,250.0,20.0,CONVECTIVE,LT/MOD,SIGMET,O,0.0
248,32780,2O13-08/16 05:55:00+0O,2013-08-16 09:55:O0+00,,,CONVECTIVE,,OUTLOOK,,
249,32781,2013-08-16 04:55:00+00,2013-08-16 06:55:00+O0,10.0,10.0,CONVECTIVE,LT/MOD,SIGMET,O,0.0
250,32782,2013-08-16 06:55:0O+O0,2013-08-16 10:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
251,32783,2O13-08-16 O5:55:00+00,2O13/08-16 O7:55:00+00,10.0,10.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
252,32784,2013-08-16 07:55:OO+O0,2O13-O8/16 11:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
253,32785,2O13/08-16 06:55:O0+O0,2013-08-16 08:55:O0+00,310.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
254,32786,2013-08-16 08:55:O0+0O,2013-O8-16 12:55:00+0O,,,CONVECTIVE,,OUTLOOK,,
255,32787,2013/08-16 O9:55:0O+00,2013-O8-16 13:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
256,32788,2013/08-16 07:55:0O+00,2O13-08-16 09:55:00+00,250.0,20.0,CONVECTIVE,LT/MOD,SIGMET,O,0.0
257,32789,2013-08/16 O8:55:O0+O0,2013/O8-16 10:55:0O+00,360.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
258,32790,2013/O8/16 10:55:00+00,2013-08-16 14:55:00+00,,,CONVECTIVE,,OUTLOOK,,
259,32791,2013-08-16 09:45:0O+OO,2013/08/16 16:00:0O+00,,,TURB,MOD,AIRMET,0.0,0.0
260,32792,2013-08/16 09:45:00+00,2O13-08-16 16:00:00+00,,,MTN OBSCN,,AIRMET,0.0,O
261,32793,2013-08-16 09:45:O0+O0,2O13-O8/16 16:OO:00+O0,,,IFR,,AIRMET,0.0,0.0
262,32794,2013/08/16 O9:45:00+OO,2O13/08-16 15:45:O0+00,,,MTN OBSCN,,AIRMET,0.0,0.0
263,32795,2013/08/16 03:45:00+00,2013-O8/16 O9:44:59+00,,,IFR,,AIRMET,O,0.0
264,32796,2O13-08-16 03:45:00+00,2013/08-16 09:44:59+OO,,,MTN OBSCN,,AIRMET,0.0,O
265,32797,2013/O8/16 03:45:O0+00,2013-O8-16 O9:44:59+00,,,ICE,MOD,AIRMET,0.0,0.0
266,32798,2013/08-16 O9:55:0O+0O,2013-08-16 11:55:0O+00,,,CONVECTIVE,NONE,SIGMET,,
267,32799,2013-O8/16 11:55:00+O0,2O13-08/16 15:55:00+OO,,,CONVECTIVE,,OUTLOOK,,
268,32800,2013/08/16 12:55:00+00,2O13-O8-16 16:55:00+00,,,CONVECTIVE,,OUTLOOK,,
269,32801,2013-08-16 10:55:O0+00,2013-08/16 12:55:00+00,,,CONVECTIVE,NONE,SIGMET,,
270,32802,2O13-08/16 13:55:0O+00,2013-08-16 17:55:O0+0O,,,CONVECTIVE,,OUTLOOK,,
271,32803,2013-O8-16 11:55:O0+00,2O13-O8/16 13:55:00+00,,,CONVECTIVE,NONE,SIGMET,,
272,32804,2013-08-16 13:55:O0+0O,2013-08/16 12:54:59+00,,,CONVECTIVE,,OUTLOOK,,
273,32806,2013-O8-16 12:55:00+00,2O13-08-16 14:55:O0+O0,350.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
274,32820,2O13/08/16 15:45:OO+0O,2013/08-16 21:45:0O+00,,,MTN OBSCN,,AIRMET,0.0,O
275,32807,2013/08-16 14:55:00+O0,2013/08/16 18:55:O0+OO,,,CONVECTIVE,,OUTLOOK,,
276,32808,2O13/08-16 14:55:OO+0O,2013/08-16 13:54:59+00,,,CONVECTIVE,,OUTLOOK,,
277,32809,2013-08-16 13:55:00+00,2013-O8-16 15:55:00+00,350.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
278,32810,2013/08/16 15:55:00+00,2013-08-16 19:55:0O+0O,,,CONVECTIVE,,OUTLOOK,,
279,32811,2013-O8-16 12:55:00+00,2013-O8-16 13:54:59+00,350.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
280,32812,2O13/O8-16 14:55:O0+00,2O13/08-16 16:55:O0+00,170.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
281,32813,2013-O8/16 16:55:OO+O0,2O13-08-16 20:55:00+00,,,CONVECTIVE,,OUTLOOK,,
282,32814,2013-08-16 13:55:00+00,2013/08-16 14:54:59+00,350.0,30.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
283,32815,2013-O8-16 15:55:O0+00,2O13-08/16 14:54:59+00,,,CONVECTIVE,,OUTLOOK,,
284,32816,2O13-08-16 09:45:00+00,2013/08-16 15:44:59+00,,,MTN OBSCN,,AIRMET,0.0,0.0
285,32817,2013-O8-16 09:45:0O+00,2O13-08-16 15:44:59+OO,,,IFR,,AIRMET,O,0.0
286,32818,2013-08/16 15:45:00+00,2013-08-16 22:00:O0+O0,,,MTN OBSCN,,AIRMET,O,0.0
287,32819,2013-O8/16 15:45:0O+O0,2013-08/16 22:O0:0O+OO,,,IFR,,AIRMET,0.0,O
288,32821,2013-O8-16 15:45:00+00,2013-08-16 22:OO:00+00,,,TURB,MOD,AIRMET,O,O
289,32822,2013/08-16 15:55:OO+O0,2013-08-16 17:55:0O+O0,360.0,30.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
290,32823,2O13-O8-16 17:55:00+0O,2013-08-16 21:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
291,32824,2013-08-16 18:55:00+0O,2013/08/16 22:55:O0+00,,,CONVECTIVE,,OUTLOOK,,
292,32825,2O13/O8-16 16:55:0O+00,2013-08-16 18:55:00+00,360.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
293,32826,2013-08-16 17:39:O0+OO,2013/08/16 22:O0:0O+00,,,IFR,,AIRMET,0.0,O
294,32827,2013-08-16 17:39:00+0O,2O13/08-16 22:0O:O0+OO,,,MTN OBSCN,,AIRMET,0.0,0.0
295,32828,2013-O8-16 17:55:0O+00,2013/O8-16 19:55:00+00,360.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
296,32829,2O13-08-16 19:55:0O+O0,2O13-08-16 23:55:O0+OO,,,CONVECTIVE,,OUTLOOK,,
297,32830,2013-O8-16 18:55:0O+0O,2013-08-16 17:54:59+O0,,,CONVECTIVE,,OUTLOOK,,
298,32831,2O13-O8/16 16:55:00+0O,2O13/O8/16 17:54:59+OO,360.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
299,32832,2O13-O8/16 20:55:00+00,2013-08-17 O0:55:O0+00,,,CONVECTIVE,,OUTLOOK,,
300,32833,2013/08-16 18:55:00+0O,2013-08-16 20:55:00+00,360.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
301,32834,2013/08-16 17:55:O0+00,2O13/O8-16 18:54:59+00,220.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
302,32835,2013/08-16 19:55:00+00,2O13/08/16 18:54:59+00,,,CONVECTIVE,,OUTLOOK,,
303,32836,2013-08-16 19:55:O0+O0,2013/O8/16 21:55:00+O0,,,CONVECTIVE,NONE,SIGMET,,
304,32837,2013-08/16 21:55:OO+00,2013/08-17 01:55:00+00,,,CONVECTIVE,,OUTLOOK,,
305,32838,2013/08-16 20:55:00+0O,2013/08-16 19:54:59+00,,,CONVECTIVE,,OUTLOOK,,
306,32839,2013/08/16 18:55:00+00,2O13-O8-16 19:54:59+00,220.0,20.0,CONVECTIVE,LT/MOD,SIGMET,O,0.0
307,32840,2013/08-16 20:55:O0+OO,2013-08-16 22:55:0O+00,240.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
308,32841,2013/08/16 22:55:00+00,2013/O8-17 O2:55:00+00,,,CONVECTIVE,,OUTLOOK,,
309,32842,2013-O8-16 19:55:O0+00,2O13/08-16 20:54:59+00,,,CONVECTIVE,NONE,SIGMET,,
310,32843,2013/O8-16 21:55:00+0O,2013-08-16 2O:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
311,32844,2013-08-16 21:45:OO+00,2013-08-17 04:0O:00+O0,,,TURB,MOD,AIRMET,0.0,0.0
312,32845,2O13-08-16 15:45:0O+00,2013-08-16 21:44:59+0O,,,TURB,MOD,AIRMET,0.0,0.0
313,35349,2O13/09-07 O3:45:00+OO,2013-O9-O7 09:44:59+OO,,,TURB,MOD,AIRMET,O,0.0
314,35412,2O13-09-07 22:55:O0+O0,2013/09/07 21:54:59+O0,,,CONVECTIVE,,OUTLOOK,,
315,32848,2013-08/16 17:39:00+0O,2013-08-16 21:44:59+O0,,,IFR,,AIRMET,O,0.0
316,32849,2013/08-16 17:39:0O+O0,2013/O8-16 21:44:59+00,,,MTN OBSCN,,AIRMET,0.0,O
317,32850,2O13-08-16 15:45:O0+00,2013/O8-16 21:44:59+00,,,MTN OBSCN,,AIRMET,0.0,0.0
318,32851,2013/08/16 15:45:00+0O,2013-08-16 21:44:59+O0,,,IFR,,AIRMET,0.0,0.0
319,32852,2013-08-16 23:55:O0+O0,2013/08-17 03:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
320,32853,2013/08/16 21:55:00+00,2013-08/16 23:55:00+00,360.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
321,32854,2013/08-16 20:55:O0+00,2013-08-16 21:54:59+00,240.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
322,32855,2013-O8/16 22:55:00+0O,2O13-08-16 21:54:59+00,,,CONVECTIVE,,OUTLOOK,,
323,32856,2O13-08/16 22:32:O0+00,2O13-08-17 04:OO:O0+00,,,IFR,,AIRMET,0.0,0.0
324,32857,2013-08-16 22:32:OO+OO,2013-O8-17 O4:00:O0+O0,,,MTN OBSCN,,AIRMET,O,O
325,32858,2013/O8-16 23:55:0O+00,2013-08-16 22:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
326,32859,2013-O8-16 21:55:0O+0O,2O13-O8-16 22:54:59+0O,360.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
327,32860,2013-O8-17 0O:55:OO+00,2O13-08/17 04:55:OO+00,,,CONVECTIVE,,OUTLOOK,,
328,32861,2013-O8/16 22:55:0O+OO,2013-08-17 00:55:00+OO,,,CONVECTIVE,NONE,SIGMET,,
329,32862,2O13-08/16 23:32:00+0O,2013-08-17 04:00:00+00,,,IFR,,AIRMET,O,O
330,32863,2013-O8/16 23:55:00+00,2013-08/17 01:55:00+O0,220.0,20.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
331,32864,2013-08-17 01:55:O0+0O,2O13-08-17 05:55:OO+O0,,,CONVECTIVE,,OUTLOOK,,
332,32865,2013-O8/16 22:55:O0+OO,2013-O8/16 23:54:59+O0,220.0,20.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
333,32866,2013-O8-17 0O:55:00+00,2O13-O8/16 23:54:59+00,,,CONVECTIVE,,OUTLOOK,,
334,32867,2O13/08/17 0O:55:00+OO,2013-08/17 02:55:0O+OO,360.0,20.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
335,32868,2O13-08-17 O2:55:00+00,2013-08-17 06:55:00+00,,,CONVECTIVE,,OUTLOOK,,
336,32869,2013-08-17 01:55:0O+0O,2013-O8/17 O0:54:59+00,,,CONVECTIVE,,OUTLOOK,,
337,32870,2013-O8/16 23:55:0O+0O,2O13-O8-17 O0:54:59+O0,,,CONVECTIVE,NONE,SIGMET,,
338,32871,2013-08-17 O1:27:O0+O0,2O13/O8/17 O4:00:O0+00,,,IFR,,AIRMET,0.0,0.0
339,32872,2013/08-17 01:27:O0+0O,2O13-O8-17 04:0O:00+00,,,MTN OBSCN,,AIRMET,0.0,O
340,32873,2013-08-17 01:29:O0+0O,2013-O8/17 04:0O:O0+00,,,IFR,,AIRMET,0.0,O
341,32874,2013/08-17 O2:55:00+OO,2O13-08/17 01:54:59+OO,,,CONVECTIVE,,OUTLOOK,,
342,32875,2013-08/17 00:55:00+0O,2013/08-17 O1:54:59+0O,,,CONVECTIVE,NONE,SIGMET,,
343,32876,2O13-08-17 03:55:0O+00,2013-08/17 O7:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
344,32877,2013-08/17 01:55:00+00,2013/O8-17 O3:55:O0+00,,,CONVECTIVE,NONE,SIGMET,,
345,32878,2013-08-17 04:55:O0+00,2013-O8-17 08:55:00+00,,,CONVECTIVE,,OUTLOOK,,
346,32924,2013-08/17 12:3O:00+0O,2013/O8-17 16:O0:00+0O,,,IFR,,AIRMET,O,0.0
347,32879,2013-08-17 02:55:OO+00,2013-08-17 O4:55:00+O0,200.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
348,32880,2013/08-17 03:18:00+0O,2013-08-17 O4:55:00+OO,220.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
349,32881,2013/O8/17 03:45:00+00,2013-08-17 10:00:00+0O,,,TURB,MOD,AIRMET,0.0,0.0
350,32882,2O13-O8/17 03:45:0O+O0,2013-08-17 10:O0:0O+00,,,IFR,,AIRMET,0.0,0.0
351,32883,2O13/08/17 03:45:O0+00,2013-08/17 10:O0:OO+0O,,,MTN OBSCN,,AIRMET,0.0,0.0
352,32884,2013/08-17 03:45:0O+00,2013-08-17 09:45:O0+00,,,MTN OBSCN,,AIRMET,0.0,O
353,32885,2013/O8-17 O1:27:0O+O0,2013/O8-17 03:44:59+0O,,,IFR,,AIRMET,0.0,O
354,32886,2O13-08-17 01:27:00+00,2013-O8-17 03:44:59+OO,,,MTN OBSCN,,AIRMET,O,0.0
355,32887,2013-08-17 01:29:00+00,2O13-O8-17 03:44:59+OO,,,IFR,,AIRMET,0.0,0.0
356,32888,2013-O8/16 21:45:00+0O,2O13-08-17 03:44:59+00,,,MTN OBSCN,,AIRMET,O,O
357,32889,2013/O8-16 21:45:00+OO,2013-08-17 03:44:59+00,,,IFR,,AIRMET,0.0,0.0
358,32890,2O13/O8-16 22:32:O0+0O,2013-08-17 03:44:59+0O,,,IFR,,AIRMET,0.0,O
359,32891,2013-08-16 22:32:00+00,2013-O8/17 03:44:59+0O,,,MTN OBSCN,,AIRMET,O,0.0
360,32892,2O13-08-16 21:45:O0+00,2013-08-17 03:44:59+00,,,TURB,MOD,AIRMET,0.0,O
361,32937,2013-O8-17 15:45:00+00,2013-08-17 22:0O:OO+00,,,MTN OBSCN,,AIRMET,0.0,0.0
362,32893,2013-08-17 05:55:0O+00,2013-08-17 O9:55:OO+00,,,CONVECTIVE,,OUTLOOK,,
363,32925,2013/08-17 12:30:00+00,2O13/O8-17 16:00:O0+00,,,MTN OBSCN,,AIRMET,0.0,0.0
364,32894,2013-08-17 O3:55:00+O0,2013-O8/17 05:55:00+00,310.0,15.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
365,32895,2013-O8/17 06:55:OO+O0,2O13-08-17 10:55:O0+O0,,,CONVECTIVE,,OUTLOOK,,
366,32896,2O13-08-17 04:55:0O+O0,2O13-08/17 O6:55:00+O0,,,CONVECTIVE,LT/MOD,SIGMET,0.0,O
367,32897,2013/08/17 O7:55:0O+0O,2013-O8-17 11:55:O0+00,,,CONVECTIVE,,OUTLOOK,,
368,32898,2O13-O8-17 O5:55:O0+00,2013-08-17 07:55:00+0O,310.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
369,32899,2O13-08-17 O6:12:0O+0O,2013/08/17 10:00:OO+00,,,TURB,MOD,AIRMET,O,0.0
370,32900,2013/08/17 06:55:O0+0O,2013/O8-17 08:55:0O+O0,240.0,5.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
371,32901,2013/08/17 08:55:O0+OO,2013-O8-17 12:55:00+00,,,CONVECTIVE,,OUTLOOK,,
372,32902,2013/08-17 09:55:00+O0,2013-08-17 13:55:00+OO,,,CONVECTIVE,,OUTLOOK,,
373,32903,2013/08-17 07:55:00+OO,2O13-08-17 09:55:0O+00,80.0,5.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
374,32904,2O13/08/17 08:12:OO+00,2013-O8/17 09:55:O0+00,290.0,10.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
375,32905,2013-08/17 O8:55:O0+00,2013/O8-17 10:55:0O+0O,250.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
376,32906,2013-O8/17 10:55:0O+0O,2013-08/17 14:55:0O+0O,,,CONVECTIVE,,OUTLOOK,,
377,32923,2013-O8/17 13:55:O0+00,2O13-08/17 17:55:00+00,,,CONVECTIVE,,OUTLOOK,,
378,32907,2O13/08-17 O9:OO:0O+00,2O13-O8-17 1O:55:OO+00,340.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
379,32908,2013-08-17 06:12:O0+OO,2013-08-17 09:44:59+00,,,TURB,MOD,AIRMET,0.0,O
380,32909,2013-O8-17 03:45:0O+O0,2013/O8-17 09:44:59+00,,,TURB,MOD,AIRMET,O,O
381,32910,2O13/O8/17 09:45:OO+00,2013-08-17 16:0O:00+00,,,TURB,MOD,AIRMET,0.0,0.0
382,32911,2013-08-17 09:45:OO+0O,2013-08-17 16:00:OO+00,,,IFR,,AIRMET,0.0,0.0
383,32912,2O13-O8-17 03:45:0O+0O,2O13/08-17 09:44:59+0O,,,IFR,,AIRMET,0.0,O
384,32913,2013-08-17 O3:45:OO+0O,2O13/08-17 09:44:59+0O,,,MTN OBSCN,,AIRMET,0.0,0.0
385,32914,2013-08-17 O9:45:0O+00,2013-O8-17 16:OO:00+00,,,MTN OBSCN,,AIRMET,O,O
386,32915,2013/O8-17 09:45:O0+O0,2O13-08/17 15:45:00+O0,,,MTN OBSCN,,AIRMET,O,0.0
387,32916,2013-08-17 09:55:00+0O,2O13/08-17 11:55:00+0O,160.0,5.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
388,32917,2013-O8-17 11:55:O0+00,2013/08-17 15:55:00+OO,,,CONVECTIVE,,OUTLOOK,,
389,32918,2O13-O8-17 10:55:00+O0,2013-O8-17 12:55:00+O0,350.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
390,32919,2013-08-17 12:55:00+00,2O13-08-17 16:55:O0+0O,,,CONVECTIVE,,OUTLOOK,,
391,32920,2013/O8-17 12:55:00+00,2013/08-17 11:54:59+00,,,CONVECTIVE,,OUTLOOK,,
392,32921,2013/08-17 1O:55:O0+00,2013/08-17 11:54:59+00,,,CONVECTIVE,NONE,SIGMET,,
393,32922,2013/O8-17 11:55:00+00,2O13/08-17 13:55:O0+00,230.0,30.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
394,32926,2O13/O8/17 12:55:0O+0O,2O13-08-17 14:55:00+OO,,,CONVECTIVE,NONE,SIGMET,,
395,32928,2O13-08/17 13:55:0O+O0,2013-08-17 15:55:OO+0O,,,CONVECTIVE,NONE,SIGMET,,
396,32929,2013-08/17 15:55:O0+00,2O13/O8-17 19:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
397,32930,2013-08-17 14:55:00+00,2O13-O8-17 13:54:59+OO,,,CONVECTIVE,,OUTLOOK,,
398,32931,2O13/08-17 12:55:0O+00,2013-O8-17 13:54:59+O0,230.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
399,32932,2O13-O8/17 16:55:00+00,2013-08-17 2O:55:O0+O0,,,CONVECTIVE,,OUTLOOK,,
400,32933,2013/O8-17 14:55:O0+00,2013/08-17 16:55:00+0O,,,CONVECTIVE,NONE,SIGMET,,
401,32934,2013/08-17 15:45:00+O0,2013/O8-17 22:O0:00+00,,,TURB,MOD,AIRMET,0.0,0.0
402,32935,2O13-08-17 O9:45:00+0O,2013-08/17 15:44:59+O0,,,TURB,MOD,AIRMET,0.0,0.0
403,32936,2O13-O8/17 15:45:00+00,2013-08-17 22:00:0O+O0,,,IFR,,AIRMET,O,0.0
404,32938,2013/O8/17 12:30:0O+00,2013-08-17 15:44:59+00,,,IFR,,AIRMET,0.0,O
405,32939,2013/08-17 12:3O:O0+00,2013-08-17 15:44:59+00,,,MTN OBSCN,,AIRMET,0.0,0.0
406,32940,2013-O8/17 09:45:O0+O0,2013-O8-17 15:44:59+0O,,,IFR,,AIRMET,O,0.0
407,32941,2013-O8-17 09:45:O0+00,2013/08/17 15:44:59+O0,,,MTN OBSCN,,AIRMET,O,O
408,33088,2013-08-18 18:29:0O+00,2013-08-18 21:44:59+O0,,,MTN OBSCN,,AIRMET,0.0,0.0
409,32942,2O13-08-17 17:55:O0+00,2013-08/17 21:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
410,32943,2013-08-17 15:55:OO+0O,2013-08-17 17:55:O0+O0,,,CONVECTIVE,NONE,SIGMET,,
411,32944,2013-08-17 16:55:00+0O,2013-O8-17 15:54:59+00,,,CONVECTIVE,,OUTLOOK,,
412,32945,2013-O8/17 14:55:00+O0,2013-08-17 15:54:59+00,,,CONVECTIVE,NONE,SIGMET,,
413,32946,2013-08-17 15:55:00+0O,2013/O8/17 16:54:59+0O,230.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
414,32947,2013-O8/17 17:55:O0+00,2O13-08-17 16:54:59+00,,,CONVECTIVE,,OUTLOOK,,
415,32948,2O13/08/17 18:55:00+0O,2O13-O8/17 22:55:0O+0O,,,CONVECTIVE,,OUTLOOK,,
416,33034,2O13/08/18 09:45:O0+00,2O13-08-18 16:00:0O+OO,,,MTN OBSCN,,AIRMET,0.0,O
417,32949,2013-O8-17 16:55:00+00,2013-08-17 18:55:OO+0O,230.0,15.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
418,32950,2013/08/17 18:55:O0+00,2O13-08-17 17:54:59+00,,,CONVECTIVE,,OUTLOOK,,
419,32960,2013-08-17 20:55:00+OO,2013-08/17 19:54:59+O0,,,CONVECTIVE,,OUTLOOK,,
420,32951,2O13-08-17 16:55:OO+00,2013-O8-17 17:54:59+O0,230.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
421,32952,2O13-O8-17 19:55:00+00,2013-O8-17 23:55:OO+00,,,CONVECTIVE,,OUTLOOK,,
422,32953,2O13-08/17 17:55:0O+O0,2013/08/17 19:55:0O+OO,230.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
423,32954,2013-08-17 18:55:00+00,2013/08-17 2O:55:00+O0,140.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
424,32955,2O13-08-17 20:55:00+00,2O13-O8-18 OO:55:O0+00,,,CONVECTIVE,,OUTLOOK,,
425,32956,2013-08-17 19:55:00+00,2013-08-17 18:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
426,33035,2013-08-18 09:45:O0+0O,2013-08/18 16:0O:00+00,,,IFR,,AIRMET,0.0,O
